Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,5,Incorrect,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,5,Correct,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,1,Correct,1
Test Problem B-01,3,Correct,3
Test Problem B-02,2,Correct,2
Test Problem B-03,1,Correct,1
Test Problem B-04,4,Incorrect,6
Test Problem B-05,5,Correct,5
Test Problem B-06,1,Incorrect,5
Test Problem B-07,5,Incorrect,6
Test Problem B-08,6,Incorrect,3
Test Problem B-09,3,Correct,3
Test Problem B-10,5,Correct,5
Test Problem B-11,5,Correct,5
Test Problem B-12,2,Correct,2
Challenge Problem B-01,-1,Skipped,6
Challenge Problem B-02,5,Incorrect,1
Challenge Problem B-03,3,Correct,3
Challenge Problem B-04,-1,Skipped,4
Challenge Problem B-05,6,Correct,6
Challenge Problem B-06,3,Correct,3
Challenge Problem B-07,1,Incorrect,6
Challenge Problem B-08,1,Incorrect,4
Challenge Problem B-09,4,Correct,4
Challenge Problem B-10,2,Incorrect,4
Challenge Problem B-11,1,Incorrect,5
Challenge Problem B-12,1,Correct,1
Raven's Problem B-01,2,Correct,2
Raven's Problem B-02,6,Correct,6
Raven's Problem B-03,1,Correct,1
Raven's Problem B-04,3,Incorrect,2
Raven's Problem B-05,-1,Skipped,1
Raven's Problem B-06,3,Correct,3
Raven's Problem B-07,1,Incorrect,5
Raven's Problem B-08,6,Correct,6
Raven's Problem B-09,4,Incorrect,2
Raven's Problem B-10,2,Incorrect,3
Raven's Problem B-11,4,Correct,4
Raven's Problem B-12,5,Correct,5
