Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,4,Correct,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,5,Correct,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,1,Correct,1
Challenge Problem B-01,1,Incorrect,6
Challenge Problem B-02,1,Correct,1
Challenge Problem B-03,1,Incorrect,3
Challenge Problem B-04,1,Incorrect,4
Challenge Problem B-05,1,Incorrect,6
Challenge Problem B-06,1,Incorrect,3
Challenge Problem B-07,1,Incorrect,6
Challenge Problem B-08,1,Incorrect,4
Challenge Problem B-09,1,Incorrect,4
Challenge Problem B-10,1,Incorrect,4
Challenge Problem B-11,1,Incorrect,5
Challenge Problem B-12,1,Correct,1
