Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,4,Correct,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,5,Correct,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,1,Correct,1
Test Problem B-01,6,Correct,6
Test Problem B-02,4,Correct,4
Test Problem B-03,6,Correct,6
Test Problem B-04,1,Correct,1
Test Problem B-05,-1,Skipped,1
Test Problem B-06,3,Incorrect,2
Test Problem B-07,1,Correct,1
Test Problem B-08,5,Correct,5
Test Problem B-09,5,Correct,5
Test Problem B-10,6,Correct,6
Test Problem B-11,4,Correct,4
Test Problem B-12,-1,Error,3
Challenge Problem B-01,-1,Skipped,6
Challenge Problem B-02,-1,Skipped,1
Challenge Problem B-03,-1,Skipped,3
Challenge Problem B-04,-1,Skipped,4
Challenge Problem B-05,-1,Skipped,6
Challenge Problem B-06,-1,Skipped,3
Challenge Problem B-07,-1,Skipped,6
Challenge Problem B-08,-1,Skipped,4
Challenge Problem B-09,-1,Skipped,4
Challenge Problem B-10,-1,Skipped,4
Challenge Problem B-11,-1,Skipped,5
Challenge Problem B-12,-1,Skipped,1
Raven's Problem B-01,-1,Skipped,2
Raven's Problem B-02,-1,Skipped,6
Raven's Problem B-03,-1,Skipped,1
Raven's Problem B-04,-1,Skipped,2
Raven's Problem B-05,-1,Skipped,1
Raven's Problem B-06,-1,Skipped,3
Raven's Problem B-07,-1,Skipped,5
Raven's Problem B-08,-1,Skipped,6
Raven's Problem B-09,-1,Skipped,4
Raven's Problem B-10,-1,Skipped,3
Raven's Problem B-11,-1,Skipped,4
Raven's Problem B-12,-1,Skipped,5
Basic Problem C-01,3,Correct,3
Basic Problem C-02,4,Correct,4
Basic Problem C-03,4,Correct,4
Basic Problem C-04,8,Correct,8
Basic Problem C-05,3,Correct,3
Basic Problem C-06,7,Correct,7
Basic Problem C-07,2,Correct,2
Basic Problem C-08,-1,Skipped,5
Basic Problem C-09,2,Correct,2
Basic Problem C-10,-1,Skipped,7
Basic Problem C-11,8,Incorrect,4
Basic Problem C-12,3,Incorrect,8
Test Problem C-01,-1,Error,7
Test Problem C-02,5,Correct,5
Test Problem C-03,6,Incorrect,1
Test Problem C-04,8,Correct,8
Test Problem C-05,6,Correct,6
Test Problem C-06,1,Incorrect,5
Test Problem C-07,3,Incorrect,8
Test Problem C-08,-1,Skipped,5
Test Problem C-09,-1,Error,2
Test Problem C-10,-1,Error,7
Test Problem C-11,-1,Error,1
Test Problem C-12,-1,Skipped,1
Challenge Problem C-01,-1,Skipped,7
Challenge Problem C-02,-1,Skipped,7
Challenge Problem C-03,-1,Skipped,3
Challenge Problem C-04,-1,Skipped,8
Challenge Problem C-05,-1,Skipped,4
Challenge Problem C-06,-1,Skipped,7
Challenge Problem C-07,-1,Skipped,3
Challenge Problem C-08,-1,Skipped,1
Challenge Problem C-09,-1,Skipped,7
Challenge Problem C-10,-1,Skipped,3
Challenge Problem C-11,-1,Skipped,4
Challenge Problem C-12,-1,Skipped,2
Raven's Problem C-01,-1,Skipped,8
Raven's Problem C-02,-1,Skipped,2
Raven's Problem C-03,-1,Skipped,3
Raven's Problem C-04,-1,Skipped,8
Raven's Problem C-05,-1,Skipped,7
Raven's Problem C-06,-1,Skipped,4
Raven's Problem C-07,-1,Skipped,5
Raven's Problem C-08,-1,Skipped,1
Raven's Problem C-09,-1,Skipped,7
Raven's Problem C-10,-1,Skipped,6
Raven's Problem C-11,-1,Skipped,1
Raven's Problem C-12,-1,Skipped,2
